"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex","non_monotonic"
"Jeonbuk","Female","35+",563471,389312,0.408605107353931,2000,35,0.408605107353931,0.408605107353931,0.999999,1.00000000002876e-06,0.335423454856627,3.35423454866273e-07,1.6771164357245,1.6771164357245,4.9999975,TRUE
"Jeonbuk","Male","35+",517324,360826,0.410893355349314,2000,35,0.410893355349314,0.410893355349314,0.999999,1.00000000002876e-06,0.396474711780962,3.96474711792362e-07,1.98237256771803,1.98237256771803,4.9999975,TRUE
"Jeonbuk","Total","35+",1080795,750138,0.409702594251128,2000,35,0.409702594251128,0.409702594251128,0.999999,1.00000000002876e-06,0.365966208875308,3.65966208885831e-07,1.82983012946102,1.82983012946102,4.9999975,TRUE
"Jeonnam","Female","35+",941549,478184,0.336812626036022,2000,35,0.336812626036022,0.336812626036022,0.999999,1.00000000002876e-06,0.229593685114845,2.29593685121447e-07,1.14796785159001,1.14796785159001,4.9999975,TRUE
"Jeonnam","Male","35+",847682,414423,0.328358575554332,2000,35,0.328358575554332,0.328358575554332,0.999999,1.00000000002876e-06,0.288109247841718,2.88109247850003e-07,1.44054551893547,1.44054551893547,4.9999975,TRUE
"Jeonnam","Total","35+",1789231,892607,0.332834048887368,2000,35,0.332834048887368,0.332834048887368,0.999999,1.00000000002876e-06,0.25861047640299,2.58610476410427e-07,1.29305173548876,1.29305173548876,4.9999975,TRUE
"Seoul","Female","15-19",137598,276563,0.667766882927171,2000,15,0.667766882927171,0.64945387758727,0.999999,1.00000000002876e-06,0.81728931401304,8.17289314036542e-07,4.08644452684191,18.1110649225013,22.1599189075074,TRUE
"Seoul","Female","20-24",127631,276240,0.683980776039874,2000,20,0.683980776039874,0.64945387758727,0.950180857397288,0.0498191426027125,0.817288496723726,0.0407166121658358,3.98465095320404,14.0246203956594,17.159938567446,TRUE
"Seoul","Female","35+",388521,422065,0.520691203647731,2000,35,0.520691203647731,0.520691203647731,0.999999,1.00000000002876e-06,0.647883048907985,6.47883048926615e-07,3.2394136248323,3.2394136248323,4.9999975,TRUE
"Seoul","Male","15-19",145944,292151,0.666866775471074,2000,15,0.666866775471074,0.656496649857769,0.999999,1.00000000002876e-06,0.824597169127069,8.24597169150781e-07,4.12298378414242,19.1156182611521,23.1817655660741,TRUE
"Seoul","Male","20-24",97400,211600,0.684789644012945,2000,20,0.684789644012945,0.656496649857769,0.999999,1.00000000002876e-06,0.8245963445299,8.24596344553612e-07,4.12297966115864,14.9926344770096,18.1817862478603,TRUE
"Seoul","Total","15-19",283542,568714,0.667304190290241,2000,15,0.667304190290241,0.652400465960596,0.999999,1.00000000002876e-06,0.82019203857464,8.20192038598225e-07,4.1009581423931,18.6512188553365,22.7400632756071,TRUE
"Seoul","Total","20-24",225031,487840,0.684331386744586,2000,20,0.684331386744586,0.652400465960596,0.98083468749019,0.0191653125098098,0.820191218382601,0.0157192210181042,4.06165803936774,14.5502607129434,17.7400835156907,TRUE
"Total","Female","35+",6264934,4393005,0.412181473359906,2000,35,0.412181473359906,0.412181473359906,0.999999,1.00000000002876e-06,0.447590336596029,4.475903366089e-07,2.2379505640043,2.2379505640043,4.9999975,TRUE
"Total","Total","35+",11822636,8656413,0.422696044137596,2000,35,0.422696044137596,0.422696044137596,0.999999,1.00000000002876e-06,0.482069080514197,4.82069080528059e-07,2.41034419739828,2.41034419739828,4.9999975,TRUE
"Ulsan","Male","25-29",5848,14916,0.718358697746099,2000,25,0.718358697746099,0.687994341750542,0.962146511554937,0.0378534884450628,0.768711918508141,0.0290984277248299,3.77081352322863,10.9334926203239,14.2231339947777,TRUE
"Ulsan","Total","25-29",13763,27268,0.66457069045356,2000,25,0.66457069045356,0.656839609526284,0.950717440673771,0.0492825593262293,0.739547806959964,0.0364468086710872,3.6066220131221,10.3697477819149,14.0217409670127,TRUE
"Busan","Female","35+",305450,352431,0.53570630554766,2010,35,0.53570630554766,0.53570630554766,0.999999,1.00000000002876e-06,0.608766776330204,6.0876677634771e-07,3.04383235973408,3.04383235973408,4.9999975,TRUE
"Busan","Male","35+",263892,341002,0.563738440123393,2010,35,0.563738440123393,0.563738440123393,0.999999,1.00000000002876e-06,0.615464970845921,6.15464970863619e-07,3.07732331556718,3.07732331556718,4.9999975,TRUE
"Busan","Total","35+",569342,693433,0.549134247985587,2010,35,0.549134247985587,0.549134247985587,0.999999,1.00000000002876e-06,0.612254070512449,6.12254070530055e-07,3.06126882192707,3.06126882192707,4.9999975,TRUE
"Daegu","Male","15-19",18068,77144,0.810234004117128,2010,15,0.810234004117128,0.806332110993583,0.916765626571635,0.0832343734283651,0.92549706657397,0.0770331684460744,4.43490241175467,18.4656068986216,19.9520966251985,TRUE
"Daegu","Male","35+",163969,237893,0.591976847773614,2010,35,0.591976847773614,0.591976847773614,0.999999,1.00000000002876e-06,0.664841984247181,6.64841984266299e-07,3.32420825913094,3.32420825913094,4.9999975,TRUE
"Daegu","Total","35+",358493,480364,0.572641105695011,2010,35,0.572641105695011,0.572641105695011,0.999999,1.00000000002876e-06,0.653034108679482,6.53034108698261e-07,3.26516891081214,3.26516891081214,4.9999975,TRUE
