"index","org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex"
"1","Daegu","Female","15-19",16628,71488,0.811294203095919,0.931844682878955,0.954178418752433,0.0458215812475665,0.931844682878955,0.0426985968466509,4.55247692227815,50.8467709708063,54.5657145498905
"1","Daegu","Female","20-24",17988,61647,0.77411941985308,0.889146086032304,0.798905713072756,0.201094286927244,0.889146086032304,0.178802198144816,3.99872493479948,46.2942940485281,52.0660156702823
"1","Daegu","Female","25-29",30444,49346,0.618448427121193,0.710343887887488,0.827256553336643,0.172743446663357,0.710343887887488,0.122707251509934,3.24495131066261,42.2955691137286,59.5423848011315
"1","Daegu","Female","30-34",33910,35523,0.511615514236746,0.587636636377554,0.93574059964692,0.0642594003530804,0.587636636377554,0.0377611778791228,2.84378023718996,39.050617803066,66.4536813834326
"1","Daegu","Female","35-39",33957,31187,0.47873940808056,0.549875458498431,1.09248663383721,-0.0924866338372106,0.549875458498431,-0.0508561301862127,2.87651761795769,36.2068375658761,65.845523756866
"1","Daegu","Female","40-44",28495,31245,0.52301640441915,0.600731588684644,0.923080435074577,0.0769195649254227,0.600731588684644,0.0462080124385808,2.88813791232677,33.3303199479184,55.4828821652248
"1","Daegu","Female","45-49",21979,20516,0.48278621014237,0.554523576246063,1.09836016961452,-0.0983601696145173,0.554523576246063,-0.0545430330148115,2.90897546376735,30.4421820355916,54.8979039659141
"1","Daegu","Female","50-54",14050,15861,0.530273143659523,0.609066609260875,1.0534868049919,-0.0534868049919051,0.609066609260875,-0.0325770269566172,3.12677561369592,27.5332065718243,45.2055754710258
"1","Daegu","Female","55-59",10301,13038,0.558635759886885,0.641643636217492,1.04590331389686,-0.0459033138968648,0.641643636217492,-0.0294535692432172,3.2818521041955,24.4064309581284,38.0373615204929
"1","Daegu","Female","60-64",7510,10555,0.584278992526986,0.671097205460709,0.896249454391125,0.103750545608875,0.671097205460709,0.0696267012231402,3.1814192742457,21.1245788539328,31.4776736991935
"1","Daegu","Female","65-69",7117,7824,0.523659728264507,0.601470504237569,1.24076332644144,-0.240763326441441,0.601470504237569,-0.144812039356648,3.36938261957947,17.9431595796872,29.832152122625
"1","Daegu","Female","70-74",3807,7062,0.649737786364891,0.746282543594217,0.963731604728489,0.0362683952715106,0.746282543594217,0.0270664702753034,3.66374654228283,14.5737769601077,19.5284977321297
"1","Daegu","Female","75-79",2271,3804,0.626172839506173,0.719216073318914,0.96565019277953,0.0343498072204699,0.719216073318914,0.024704933468368,3.53431803292365,10.9100304178249,15.1693362016774
"1","Daegu","Female","80-84",1441,2204,0.604663923182442,0.694511139850546,1.08266744989162,-0.0826674498916191,0.694511139850546,-0.0574134648527663,3.61608936138465,7.37571238490121,10.6200058741871
"1","Daegu","Female","85+",661,1253,0.654649947753396,0.751924604703312,1,0,0.751924604703312,0,3.75962302351656,3.75962302351656,5
"1","Daegu","Male","0-4",10518,77346,0.88029226987162,1,0.925977325805529,0.0740226741944714,1,0.0740226741944714,4.81494331451382,72.61048333103,72.61048333103
"1","Daegu","Male","5-9",19119,84300,0.815130681983001,0.925977325805529,1.02304483436453,-0.0230448343645309,0.925977325805529,-0.0213389940984996,4.68323411427389,67.7955400165162,73.2151189096767
"1","Daegu","Male","10-14",15365,77148,0.833915233534747,0.947316319904028,0.975567149145569,0.0244328508544306,0.947316319904028,0.0231456383561832,4.67871750362968,63.1123059022423,66.6222090511817
"1","Daegu","Male","15-19",17285,75416,0.813540307008554,0.924170681547845,0.93300373446688,0.06699626553312,0.924170681547845,0.0619159843789039,4.46606344679197,58.4335883986126,63.2281347648308
"1","Daegu","Male","20-24",14760,46494,0.759036144578313,0.862254697168941,0.863527781958869,0.136472218041131,0.862254697168941,0.117673811039029,4.01708895824713,53.9675249518207,62.5888442579825
