"cohort","org_region5","res_region5","cohortfer","wgtProp"
"1956-1960","Seoul","Provinces",1.85664429530201,0.000713942371543853
"1956-1960","Rest Capital","Provinces",1.98496152264584,0.000980714205401466
"1956-1960","Metros","Provinces",1.83697959665054,0.00351709013585816
"1956-1960","Provinces","Provinces",2.02647272468661,0.495042608307382
"1956-1960","Abroad","Provinces",1.65063213074314,3.82779565267972e-05
"1961-1965","Seoul","Seoul",1.57880882895545,0.0291634029728781
"1961-1965","Rest Capital","Seoul",1.74075444291878,0.00189702147431554
"1961-1965","Metros","Seoul",1.62392118092521,0.00128761456312481
"1961-1965","Provinces","Seoul",1.79644216306504,0.0603582331023704
"1961-1965","Abroad","Seoul",1.05618683713938,6.85738774756671e-05
"1961-1965","Seoul","Rest Capital",1.67986469108232,0.0194073552587544
"1961-1965","Rest Capital","Rest Capital",1.77516620726545,0.0510276201942678
"1961-1965","Metros","Rest Capital",1.77769483321814,0.00226566219476288
"1961-1965","Provinces","Rest Capital",1.88182078545473,0.174926810385742
"1961-1965","Abroad","Rest Capital",1.20815428132297,0.000149153945544109
"1961-1965","Seoul","Metros",1.74727439400873,0.000208988594893283
"1961-1965","Rest Capital","Metros",1.84150999982448,8.59720376217247e-05
"1961-1965","Metros","Metros",1.769790089309,0.0496975431517127
"1961-1965","Provinces","Metros",1.91643018557218,0.103015959342898
"1961-1965","Abroad","Metros",1.32955953796675,1.27420924000126e-05
"1961-1965","Seoul","Provinces",1.72963853742644,0.000904882398705824
"1961-1965","Rest Capital","Provinces",1.83982327480975,0.000801525537162665
"1961-1965","Metros","Provinces",1.84792702682738,0.00480235556174077
"1961-1965","Provinces","Provinces",1.95714022265668,0.499798384204232
"1961-1965","Abroad","Provinces",1.57245783886993,0.00012019910939748
"1966-1970","Seoul","Seoul",1.33760055722427,0.056599818322982
"1966-1970","Rest Capital","Seoul",1.49993542057151,0.00125231239990512
"1966-1970","Metros","Seoul",1.437935053565,0.0019635133012393
"1966-1970","Provinces","Seoul",1.6067569523279,0.0344429286077153
"1966-1970","Abroad","Seoul",1.14461050558731,0.000136844014844116
"1966-1970","Seoul","Rest Capital",1.48239934190815,0.0490741220399416
"1966-1970","Rest Capital","Rest Capital",1.60837453240401,0.0612187206026401
"1966-1970","Metros","Rest Capital",1.55529721219284,0.0046669086374124
"1966-1970","Provinces","Rest Capital",1.74169742165569,0.143703438087037
"1966-1970","Abroad","Rest Capital",1.11937748340144,0.000413707483280155
"1966-1970","Seoul","Metros",1.55812463648801,0.000603359723989391
"1966-1970","Rest Capital","Metros",1.73846321339287,0.000129325706764138
"1966-1970","Metros","Metros",1.56208254217329,0.0854469033390006
"1966-1970","Provinces","Metros",1.76558309720833,0.0681668996183467
"1966-1970","Abroad","Metros",1.33790896735606,2.51159585461765e-05
"1966-1970","Seoul","Provinces",1.60879746411897,0.00185967233103716
"1966-1970","Rest Capital","Provinces",1.70952369689753,0.0010806042823183
"1966-1970","Metros","Provinces",1.64710704805114,0.00797948576110584
"1966-1970","Provinces","Provinces",1.76436799144636,0.481010328177752
"1966-1970","Abroad","Provinces",1.45169489715012,0.000225991604143226
"1971-1975","Seoul","Seoul",1.24152905379457,0.0584891067564449
"1971-1975","Rest Capital","Seoul",1.18738961497704,0.00167604970043488
"1971-1975","Metros","Seoul",1.4199906875679,0.00211454778314238
"1971-1975","Provinces","Seoul",1.4357365376057,0.0262445359357274
"1971-1975","Abroad","Seoul",0.953777777777778,6.87757482123301e-05
"1971-1975","Seoul","Rest Capital",1.44283758643687,0.0449161460819801
"1971-1975","Rest Capital","Rest Capital",1.52312470272236,0.0701496865629334
"1971-1975","Metros","Rest Capital",1.42272467086434,0.00600334577364083
"1971-1975","Provinces","Rest Capital",1.66166308803435,0.142089119193031
"1971-1975","Abroad","Rest Capital",1.07442803359398,0.00067772828880504
"1971-1975","Seoul","Metros",1.30516431924883,0.000463292745431438
"1971-1975","Rest Capital","Metros",1.68981481481481,8.75696263554048e-05
"1971-1975","Metros","Metros",1.54465958775765,0.100986943087494
"1971-1975","Provinces","Metros",1.61456385790729,0.0535012320897777
"1971-1975","Abroad","Metros",1.20491803278689,3.53290159238075e-05
"1971-1975","Seoul","Provinces",1.4712579320642,0.00189637663070798
"1971-1975","Rest Capital","Provinces",1.72885946433945,0.000705672961236576
"1971-1975","Metros","Provinces",1.59106081576162,0.00908994987214837
"1971-1975","Provinces","Provinces",1.70766039413246,0.480475819938276
"1971-1975","Abroad","Provinces",1.64325699745547,0.000328772208296416
