"index","org_region5","sex","agegr","none","native","retention","year","age_lower","rx","rx_adj","lx","Sx","px","qx","dx","Lx","Tx","ex"
"1","Seoul","Female","5-9",137306,241872,0.63788510936816,2000,5,0.63788510936816,0.64945387758727,0.81729094859412,0.81729094859412,0.999999,1e-06,8.1729094859412e-07,4.08645269974323,25.8182023317547,31.5899770775223
"1","Seoul","Female","10-14",141888,220240,0.608182742013874,2000,10,0.608182742013874,0.64945387758727,0.81729094859412,0.81729094859412,0.999999,1e-06,8.1729094859412e-07,4.08645269974323,21.7317496320115,26.5899795775223
"1","Seoul","Female","15-19",137598,276563,0.667766882927171,2000,15,0.667766882927171,0.64945387758727,0.81729094859412,0.81729094859412,0.999999,1e-06,8.1729094859412e-07,4.08645269974323,17.6452969322683,21.5899820775223
"1","Seoul","Female","20-24",127631,276240,0.683980776039874,2000,20,0.683980776039874,0.64945387758727,0.81729094859412,0.81729094859412,0.950180857397288,0.0498191426027125,0.0407167343159166,3.98466290718081,13.558844232525,16.5899845775223
"1","Seoul","Female","25-29",156375,252020,0.617098642245865,2000,25,0.617098642245865,0.617098642245865,0.776574214278203,0.776574214278203,0.834286831232022,0.165713168767978,0.128688573831544,3.56114963681216,9.57418132534422,12.3287396739577
"1","Seoul","Female","30-34",145314,154202,0.514837270796886,2000,30,0.514837270796886,0.514837270796886,0.647885640446659,0.647885640446659,0.904134675954293,0.0958653240457066,0.0621097668659791,3.08415378506835,6.01303168853207,9.28100780932051
"1","Seoul","Female","35-39",120553,104983,0.465482229001135,2000,35,0.465482229001135,0.465482229001135,0.58577587358068,0.58577587358068,0.999999,1e-06,5.8577587358068e-07,2.92887790346372,2.92887790346372,4.9999975
"1","Seoul","Male","0-4",69229,270363,0.796140662913143,2000,0,0.796140662913143,0.796140662913143,1,1,0.824598818323881,0.175401181676119,0.175401181676119,4.5614970458097,31.5455450319868,31.5455450319868
"1","Seoul","Male","5-9",156722,283363,0.643882431802947,2000,5,0.643882431802947,0.656496649857769,0.824598818323881,0.824598818323881,0.999999,1e-06,8.24598818323881e-07,4.12299203012236,26.9840479861771,32.7238499335061
"1","Seoul","Male","10-14",150124,249902,0.624714393564418,2000,10,0.624714393564418,0.656496649857769,0.824598818323881,0.824598818323881,0.999999,1e-06,8.24598818323881e-07,4.12299203012236,22.8610559560548,27.7238524335061
