"org_region5","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Provinces","Male","10-14",101567,419903,0.805229447523347,0.877660108548174,0.890016801719044,0.109983198280956,0.877660108548174,0.0965278657417395,4.14698087838652,38.8083880510893,44.2180152351759,2000
"Provinces","Male","15-19",189617,479622,0.716667737534722,0.781132242806435,0.801413094316237,0.198586905683763,0.781132242806435,0.155122635028747,3.51785462646031,34.6614071727028,44.3732895318365,2000
"Provinces","Male","20-24",256725,346407,0.574346909134319,0.626009607777687,0.819713475782113,0.180286524217887,0.626009607777687,0.112861096313242,2.84789529810533,31.1435525462425,49.7493203927029,2000
"Provinces","Male","25-29",529153,470758,0.470799901191206,0.513148511464446,0.88075012764608,0.11924987235392,0.513148511464446,0.0611928944907394,2.41276032109538,28.2956572481371,55.1412634275909,2000
"Provinces","Male","30-34",733550,519647,0.414657073069916,0.451955616973706,0.954959185739169,0.0450408142608307,0.451955616973706,0.0203564489982519,2.2088869623729,25.8828969270418,57.2686696546744,2000
"Provinces","Male","35-39",852632,558965,0.395980580859835,0.431599167975454,0.999999,1e-06,0.431599167975454,4.31599167975454e-07,2.15799476087935,23.6740099646689,54.8518433798631,2000
"Provinces","Male","40-44",814891,537428,0.397412149056547,0.433159506215424,0.999999,1e-06,0.431598736376286,4.31598736376286e-07,2.15799260288459,21.5160152037895,49.8518957317588,2000
"Provinces","Male","45-49",625652,421949,0.402776438739558,0.439006315568903,0.999999,1e-06,0.43159830477755,4.3159830477755e-07,2.15799044489199,19.3580226009049,44.8519430837019,2000
"Provinces","Male","50-54",486645,351090,0.4190943436767,0.456792021571657,0.999999,1e-06,0.431597873179245,4.31597873179245e-07,2.15798828690154,17.2000321560129,39.8519854356874,2000
"Provinces","Male","55-59",363441,300135,0.452299359832182,0.492983840155787,0.999999,1e-06,0.431597441581372,4.31597441581372e-07,2.15798612891326,15.0420438691114,34.8520227877101,2000
