"org_admin","sex","agegr","none","native","retention","year","age_lower","rx_raw","rx_adj","px","qx","lx","dx","Lx","Tx","ex"
"Chungbuk","Male","25-29",44878,38018,0.458622852731133,2000,25,0.458622852731133,0.458622852731133,0.824867978574872,0.175132021425128,0.526259600615537,0.0921649076501793,2.40088573395224,6.74182832265997,12.8108414835082
"Chungbuk","Male","30-34",64907,39496,0.378303305460571,2000,30,0.378303305460571,0.378303305460571,0.999999,1.00000000002876e-06,0.434094692965358,4.3409469297784e-07,2.17047237959006,4.34094258870773,9.9999900000025
"Chungbuk","Male","35+",351037,229419,0.395239260167868,2000,35,0.395239260167868,0.395239260167868,0.999999,1.00000000002876e-06,0.434094258870665,4.34094258883147e-07,2.17047020911768,2.17047020911768,4.9999975
"Chungbuk","Total","0-4",12659,86923,0.872878632684622,2000,0,0.872878632684622,0.872878632684622,0.915432309340317,0.0845676906596833,1,0.0845676906596833,4.78858077335079,26.3850117499352,26.3850117499352
"Chungbuk","Total","5-9",20293,80698,0.799061302492301,2000,5,0.799061302492301,0.799061302492301,0.992014756020854,0.00798524397914646,0.915432309340317,0.00730995033647591,4.55888667086039,21.5964309765844,23.5915105423221
"Chungbuk","Total","10-14",18496,70719,0.792680603037606,2000,10,0.792680603037606,0.792680603037606,0.904141212708446,0.0958587872915538,0.908122359003841,0.0870515080464533,4.32298302490307,17.037544305724,18.7612871071837
"Chungbuk","Total","15-19",32267,81628,0.716695201720883,2000,15,0.716695201720883,0.716695201720883,0.796291573221874,0.203708426778126,0.821070850957388,0.167259051321906,3.68720662648217,12.7145612808209,15.4853399874023
"Chungbuk","Total","20-24",49972,66431,0.570698349698891,2000,20,0.570698349698891,0.570698349698891,0.767622078503867,0.232377921496133,0.653811799635481,0.15193142704894,2.88923043055506,9.02735465433873,13.8072678703134
"Chungbuk","Total","25-29",93568,72947,0.438080653394589,2000,25,0.438080653394589,0.438080653394589,0.778420909172499,0.221579090827501,0.501880372586542,0.111206196661893,2.23138637127798,6.13812422378368,12.2302535804491
"Chungbuk","Total","30-34",135755,70250,0.341011140506298,2000,30,0.341011140506298,0.341011140506298,0.999999,1.00000000002876e-06,0.390674175924648,3.90674175935882e-07,1.9533699029378,3.9067378525057,9.9999900000025
"Chungbuk","Total","35+",750934,448164,0.373750936120317,2000,35,0.373750936120317,0.373750936120317,0.999999,1.00000000002876e-06,0.390673785250472,3.90673785261706e-07,1.9533679495679,1.9533679495679,4.9999975
"Chungnam","Female","0-4",8116,48391,0.856371776947989,2000,0,0.856371776947989,0.856371776947989,0.911968048944544,0.0880319510554556,1,0.0880319510554556,4.77992012236136,22.2441328192726,22.2441328192726
"Chungnam","Female","5-9",10923,38950,0.78098369859443,2000,5,0.78098369859443,0.78098369859443,0.948307581028016,0.0516924189719837,0.911968048944544,0.047141834475104,4.44198565853496,17.4642126969112,19.1500269303549
"Chungnam","Female","10-14",13512,38580,0.740612762036397,2000,10,0.740612762036397,0.740612762036397,0.856817289561125,0.143182710438875,0.86482621446944,0.123828161446326,4.01456066873139,13.0222270383763,15.0576229310593
"Chungnam","Female","15-19",28224,49011,0.634569819382404,2000,15,0.634569819382404,0.634569819382404,0.616559591778558,0.383440408221442,0.740998053023114,0.284128595942477,2.99466877525938,9.00766636964488,12.1561269059959
"Chungnam","Female","20-24",62949,40458,0.391250108793409,2000,20,0.391250108793409,0.391250108793409,0.709537170689288,0.290462829310712,0.456869457080638,0.132703595129291,1.95258829757996,6.0129975943855,13.161303521597
"Chungnam","Female","25-29",100987,38808,0.277606495225151,2000,25,0.277606495225151,0.277606495225151,0.802057865652021,0.197942134347979,0.324165861951347,0.0641660825974017,1.46041410326323,4.06040929680553,12.5257153000736
"Chungnam","Female","30-34",122521,35094,0.222656473051423,2000,30,0.222656473051423,0.222656473051423,0.999999,1.00000000002876e-06,0.259999779353945,2.59999779361421e-07,1.29999824677028,2.59999519354231,9.9999900000025
"Chungnam","Female","35+",712639,337081,0.321115154517395,2000,35,0.321115154517395,0.321115154517395,0.999999,1.00000000002876e-06,0.259999519354166,2.59999519361642e-07,1.29999694677203,1.29999694677203,4.9999975
"Chungnam","Male","0-4",6915,50655,0.879885356956748,2000,0,0.879885356956748,0.879885356956748,0.904339178361148,0.0956608216388523,1,0.0956608216388523,4.76084794590287,23.8148615842258,23.8148615842258
"Chungnam","Male","5-9",11899,46348,0.795714800762271,2000,5,0.795714800762271,0.795714800762271,0.930077000578758,0.0699229994212422,0.904339178361148,0.0632341078451532,4.36361062219286,19.054013638323,21.069543479088
"Chungnam","Male","10-14",15178,43216,0.740076035209097,2000,10,0.740076035209097,0.740076035209097,0.871172041100429,0.128827958899571,0.841105070515994,0.108357849454655,3.93463072894333,14.6904030161301,17.4655979747191
"Chungnam","Male","15-19",28400,51540,0.644733550162622,2000,15,0.644733550162622,0.644733550162622,0.726860611333178,0.273139388666822,0.732747221061339,0.200142128008007,3.16338078528668,10.7557722871868,14.6786940680685
"Chungnam","Male","20-24",41451,36557,0.468631422418214,2000,20,0.468631422418214,0.468631422418214,0.766656335697018,0.233343664302982,0.532605093053332,0.124280024039495,2.35232540516792,7.59239150190008,14.2551988347956
"Chungnam","Male","25-29",84167,47196,0.359279249103629,2000,25,0.359279249103629,0.359279249103629,0.826646634220577,0.173353365779423,0.408325069013837,0.070784525045664,1.86466403245502,5.24006609673216,12.8330746612929
"Chungnam","Male","30-34",112742,47630,0.296996982016811,2000,30,0.296996982016811,0.296996982016811,0.999999,1.00000000002876e-06,0.337540543968173,3.37540543977879e-07,1.68770187598951,3.37540206427713,9.9999900000025
"Chungnam","Male","35+",642630,335167,0.342777693120351,2000,35,0.342777693120351,0.342777693120351,0.999999,1.00000000002876e-06,0.337540206427629,3.37540206437335e-07,1.68770018828763,1.68770018828763,4.9999975
