"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Busan","Total","25-29",108934,185087,0.629502654572292,0.738808188436786,0.825148909145114,0.174851090854886,0.707065571601845,0.123631186500516,3.22624989175794,37.293920116501,52.7446415358795,2000
"Busan","Total","30-34",113184,122338,0.519433428724281,0.609626770756092,0.999999,1e-06,0.583434385101329,5.83434385101329e-07,2.91717046692068,34.0676702247431,58.3916051139604,2000
"Busan","Total","35-39",90823,99319,0.522341197631244,0.61303943861848,0.999999,1e-06,0.583433801666944,5.83433801666944e-07,2.91716754975022,31.1504997578224,53.3916610056214,2000
"Busan","Total","40-44",87412,102050,0.538630437765884,0.632157108587739,0.979770399474132,0.0202296005258681,0.583433218233142,0.0118026209383781,2.88765953881977,28.2333322080722,48.3917118973333,2000
"Busan","Total","45-49",64963,72593,0.527734159178807,0.619368822811421,0.999999,1e-06,0.571630597294764,5.71630597294764e-07,2.85815155739733,25.3456726692524,44.3392512388255,2000
"Busan","Total","50-54",33684,47161,0.583350856577401,0.684642688065905,0.999999,1e-06,0.571630025664167,5.71630025664167e-07,2.85814869924577,22.4875211118551,39.3392930781186,2000
"Busan","Total","55-59",18204,28567,0.610784460456266,0.716839805960201,0.999999,1e-06,0.571629454034141,5.71629454034141e-07,2.85814584109707,19.6293724126093,34.3393299174485,2000
"Busan","Total","60-64",13535,21415,0.612732474964235,0.71912606966255,0.999999,1e-06,0.571628882404687,5.71628882404687e-07,2.85814298295123,16.7712265715123,29.3393617568103,2000
"Busan","Total","65-69",8891,17986,0.669196710942441,0.785394638335815,0.999999,1e-06,0.571628310775805,5.71628310775805e-07,2.85814012480825,13.9130835885611,24.3393885961989,2000
"Busan","Total","70-74",4702,11383,0.707677960833074,0.830557692556449,0.999999,1e-06,0.571627739147494,5.71627739147494e-07,2.85813726666812,11.0549434637528,19.3394104356093,2000
"Busan","Total","75-79",2545,7476,0.746033330006985,0.875573008394084,0.999999,1e-06,0.571627167519755,5.71627167519755e-07,2.85813440853085,8.19680619708468,14.3394272750366,2000
"Busan","Total","80-84",1036,3176,0.754036087369421,0.884965347928311,0.911925519238601,0.0880744807613992,0.571626595892587,0.0503457156226458,2.73226869040632,5.33867178855383,9.33943911447571,2000
"Busan","Total","85+",626,1378,0.687624750499002,0.807022484417694,0.999999,1e-06,0.521280880269941,5.21280880269941e-07,2.60640309814751,2.60640309814751,4.9999975,2000
"Chungbuk","Female","0-4",5981,41642,0.874409424017807,1,0.909177695439415,0.0908223045605854,1,0.0908223045605854,4.77294423859854,40.8264528609105,40.8264528609105,2000
"Chungbuk","Female","5-9",9369,36332,0.794993544999015,0.909177695439415,0.974609494212716,0.0253905057872842,0.909177695439415,0.0230844815377242,4.48817727335276,36.0535086223119,39.6550738135815,2000
"Chungbuk","Female","10-14",9513,32731,0.774808256793864,0.88609321390169,0.913703017120898,0.0862969828791025,0.88609321390169,0.0764671709093631,4.23929814223504,31.5653313489592,35.6230370052933,2000
"Chungbuk","Female","15-19",16186,39235,0.707944641922737,0.809626042992327,0.796449471357353,0.203550528642647,0.809626042992327,0.164799809053943,3.63613069232678,27.3260332067241,33.7514256652723,2000
"Chungbuk","Female","20-24",28557,36917,0.563842135809634,0.644826233938385,0.740838690096443,0.259161309903557,0.644826233938385,0.167114011447649,2.8063461410728,23.6899025143973,36.7384285371072,2000
"Chungbuk","Female","25-29",48690,34929,0.41771606931439,0.477712222490735,0.724633104032584,0.275366895967416,0.477712222490735,0.13154613187297,2.05969578277125,20.8835563733245,43.7157673388387,2000
